locusId	sysName	desc	Minimal Media+Sucrose	Minimal Media+Glucose	Cucumber_1	Cucumber_2	name	scaffoldId	begin	end	strand
LU633_RS00015	LU633_RS00015	DNA replication/repair protein RecF	-0.712440853512774	-0.41343428514431	-0.815290972314162	-0.896346887122869	recF	NZ_CP089932.1	2649	3734	+
LU633_RS00025	LU633_RS00025	LuxR C-terminal-related transcriptional regulator	-0.406928460586059	-0.253026922428695	-0.117719850077741	-0.673345690262442		NZ_CP089932.1	6423	7019	-
LU633_RS00030	LU633_RS00030	sugar-phosphatase	1.22362121452873	1.08363058678572	1.45071611263619	0.300630158990099	yidA	NZ_CP089932.1	7342	8151	+
LU633_RS00035	LU633_RS00035	DUF3748 domain-containing protein	0.116415398269022	0.124388161791067	-0.0627163463121703	0.720611538790124		NZ_CP089932.1	8261	9532	+
LU633_RS00040	LU633_RS00040	YceK/YidQ family lipoprotein	0.0517424952724128	0.361360093344386	0.771927002877562	-0.177038241864634		NZ_CP089932.1	9529	9900	-
LU633_RS00045	LU633_RS00045	heat shock chaperone IbpA	-0.168858418707532	-0.0485930680289777	-0.0795452512906765	1.07047668406974	ibpA	NZ_CP089932.1	10200	10616	+
LU633_RS00050	LU633_RS00050	hypothetical protein	0.0483547334362824	-0.162043570314673	-0.609053969139347	-0.90845457988569		NZ_CP089932.1	10744	10977	-
LU633_RS00055	LU633_RS00055	valine--pyruvate transaminase	0.493028130558459	0.261857665363937	-0.129872581933963	0.130928629975482		NZ_CP089932.1	11018	12268	-
LU633_RS00060	LU633_RS00060	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD	0.0062875353254512	-0.0868464108743561	-0.115306645832449	0.377202442151945	kduD	NZ_CP089932.1	12621	13382	+
LU633_RS00065	LU633_RS00065	bifunctional glyoxylate/hydroxypyruvate reductase B	0.147746583438653	0.0159952370931918	0.838042505294697	0.660364262114401		NZ_CP089932.1	13473	14210	-
LU633_RS00075	LU633_RS00075	substrate-binding domain-containing protein	0.73900763563594	0.335334039461211	0.943391190824444	-0.38343423709614		NZ_CP089932.1	14931	15386	-
LU633_RS00095	LU633_RS00095	CS1 type fimbrial major subunit	-0.20665817923236	-0.155881087084898	0.310387084343626	0.236424921674713		NZ_CP089932.1	18763	19290	+
LU633_RS00100	LU633_RS00100	TcfC E-set like domain-containing protein	-0.117736358654887	-0.0620104687795657	-0.431158676188184	-0.608985445123018		NZ_CP089932.1	19353	21782	+
LU633_RS00105	LU633_RS00105	hypothetical protein	0.217387108559982	0.0534184473422953	-0.212980814909425	0.327882280975547		NZ_CP089932.1	21782	23050	+
LU633_RS00110	LU633_RS00110	transcriptional regulator AsnC	0.008579392750033	-0.163963698101265	-0.0995389313931396	1.06099318580049	asnC	NZ_CP089932.1	23139	23600	-
LU633_RS00115	LU633_RS00115	5-histidylcysteine sulfoxide synthase	-0.196682133486608	-0.358041478761496	-0.657947825200627	-0.133701617953737	ovoA	NZ_CP089932.1	23721	25586	-
LU633_RS00210	LU633_RS00210	DNA-3-methyladenine glycosylase I	-0.0728195588759484	-0.187296290590731	-0.172730756962903	-0.528160620453388		NZ_CP089932.1	39982	40545	-
LU633_RS00215	LU633_RS00215	glutathione S-transferase	-0.0262592473229684	-0.234474150275348	0.131597636873249	0.608723608658303		NZ_CP089932.1	40630	41209	-
LU633_RS00220	LU633_RS00220	formate dehydrogenase accessory protein FdhE	0.738213842317849	0.459782996078088	0.800018857800871	0.502285982459074	fdhE	NZ_CP089932.1	41268	42188	-
LU633_RS00225	LU633_RS00225	formate dehydrogenase accessory sulfurtransferase FdhD	0.266317286667049	-0.115536168286061	0.152471572189524	-0.0025447972801444	fdhD	NZ_CP089932.1	42530	43279	+
LU633_RS00230	LU633_RS00230	DeoR/GlpR family DNA-binding transcription regulator	-0.0005139252264789	-0.129985582719422	-0.718133347992078	-0.0317049241446639		NZ_CP089932.1	43288	44064	-
LU633_RS00235	LU633_RS00235	aminotransferase class III-fold pyridoxal phosphate-dependent enzyme	0.110268579034597	0.0220852463645612	0.17678773418717	0.195339917923837		NZ_CP089932.1	44236	45472	+
LU633_RS00240	LU633_RS00240	hypothetical protein	-0.147510933010728	-0.360592157421159	0.0229767573749071	0.299141777071976		NZ_CP089932.1	45519	45953	-
LU633_RS00245	LU633_RS00245	acyltransferase	-0.0489318911579892	-0.165784412715407	-0.170059256016844	0.0717628520735496		NZ_CP089932.1	46115	47116	+
LU633_RS00260	LU633_RS00260	ATP-binding cassette domain-containing protein	0.147118526342227	-0.0881388830284853	-0.692836091329874	0.840726923096227		NZ_CP089932.1	48282	49253	+
LU633_RS00265	LU633_RS00265	YibL family ribosome-associated protein	-0.436653488370248	1.01421130019121	-1.93505758480302	0.703639159282777		NZ_CP089932.1	49273	49635	-
LU633_RS00270	LU633_RS00270	MltR family transcriptional regulator	0.749120311553541	0.610676622919798	0.161249257688895	0.042958428692903		NZ_CP089932.1	49707	50231	-
LU633_RS00275	LU633_RS00275	mannitol-1-phosphate 5-dehydrogenase	1.01436132712544	0.570862723570286	-0.92675773766313	-0.810230031690439		NZ_CP089932.1	50331	51476	-
LU633_RS00280	LU633_RS00280	PTS mannitol transporter subunit IICBA	0.0993948116347487	0.044718961888741	0.166514697826171	0.236762721813574		NZ_CP089932.1	51570	53489	-
LU633_RS00285	LU633_RS00285	DUF943 family protein	0.41554190543024	-0.105154430056632	-0.0196929573497575	-0.161754677710467		NZ_CP089932.1	53941	54314	-
LU633_RS00300	LU633_RS00300	hypothetical protein	0.173530367155631	-0.0931607808886314	0.117424007305185	0.0663130270060455		NZ_CP089932.1	55945	56526	+
LU633_RS00310	LU633_RS00310	DUF3053 domain-containing protein	-0.145105358867998	-0.743786747601407	-0.276960968480128	0.0782906519283006		NZ_CP089932.1	57465	58181	-
LU633_RS00325	LU633_RS00325	acyltransferase	0.32235138250921	0.18942144313836	-1.16552824615373	-0.170380552901108		NZ_CP089932.1	61963	62971	+
LU633_RS00335	LU633_RS00335	isochorismatase family protein	-0.401798216054553	-0.206923870116098	-0.376295786242784	-0.0856200155465863		NZ_CP089932.1	63792	64328	-
LU633_RS00345	LU633_RS00345	N-acetylmuramoyl-L-alanine amidase	-0.940407886223725	-1.10642333595515	-0.676532662724693	0.117703053138346		NZ_CP089932.1	65724	66503	+
LU633_RS00350	LU633_RS00350	glycoside hydrolase family 10 protein	-0.0711423792112977	-0.0882187826475336	-0.427613961233384	-0.605543536496676		NZ_CP089932.1	66529	67806	+
LU633_RS00355	LU633_RS00355	RcnB family protein	-0.382015352479614	-0.423589964420582	-0.411496651621325	-0.401905128499003		NZ_CP089932.1	68106	68588	+
LU633_RS00360	LU633_RS00360	HD domain-containing protein	-0.0662110431981215	-0.195721393433009	0.800248798642742	-0.253313816131246		NZ_CP089932.1	68618	69208	-
LU633_RS00365	LU633_RS00365	MarR family transcriptional regulator	-0.346852330713471	0.143823114344061	0.204777137479207	-0.903370006286622		NZ_CP089932.1	69270	69728	+
LU633_RS00370	LU633_RS00370	organic hydroperoxide resistance protein	-0.526717599716781	-0.801730718621339	0.630636407710697	0.74658532969432		NZ_CP089932.1	69834	70262	+
LU633_RS00375	LU633_RS00375	'kdo(2)-lipid A phosphoethanolamine 7''-transferase' pseudo=_no_value transl_table=11	0.0072544987605343	-0.0029217700486643	-0.150977338523096	-0.0458927148984705	eptB	NZ_CP089932.1	70540	72238	+
LU633_RS00380	LU633_RS00380	catecholate siderophore receptor CirA	-0.053321909912047	-0.0354151598068615	0.212167849565672	-0.194083095765694	cirA	NZ_CP089932.1	72332	74293	-
LU633_RS00385	LU633_RS00385	ABC transporter substrate-binding protein	0.329344519256762	-0.0123718768292236	-0.215796299488721	0.353089465443168		NZ_CP089932.1	74342	75493	-
LU633_RS00390	LU633_RS00390	SMR family transporter	0.160083761113195	0.0249069265908382	-0.203001794788137	0.0790052003662951		NZ_CP089932.1	76075	76414	+
LU633_RS00395	LU633_RS00395	ABC transporter substrate-binding protein	-0.233552416785118	-0.277679159489959	-0.534222498660405	-0.353677413873624		NZ_CP089932.1	77029	78639	+
LU633_RS00400	LU633_RS00400	dipeptide ABC transporter permease DppB	-0.478280899429967	-0.655109034797393	-0.423029129788142	0.16117575436307	dppB	NZ_CP089932.1	78852	79871	+
LU633_RS00405	LU633_RS00405	dipeptide ABC transporter permease DppC	-0.132351439168973	-0.155726242825264	-0.291247690110796	0.0889818516095793	dppC	NZ_CP089932.1	79882	80784	+
LU633_RS00410	LU633_RS00410	dipeptide ABC transporter ATP-binding protein	-0.05979511383511	-0.52487231027718	0.339136226952432	-0.693496687114186	dppD	NZ_CP089932.1	80794	81780	+
LU633_RS00415	LU633_RS00415	ABC transporter ATP-binding protein	-0.265555644973065	0.033650577119161	0.170818444617203	-0.840771884180084		NZ_CP089932.1	81752	82771	+
LU633_RS00420	LU633_RS00420	hypothetical protein	0.75340159793067	0.0143890906430946	-0.88010590484467	0.464343350824632		NZ_CP089932.1	82916	83944	+
LU633_RS00470	LU633_RS00470	hypothetical protein	-0.191808712922655	-0.243573545471419	1.05277250370728	2.6811686708844		NZ_CP089932.1	91388	91756	-
LU633_RS00500	LU633_RS00500	Expansin-YoaJ	0.162685248442108	-0.0357024320225845	-0.45898357648229	-0.219235663182002		NZ_CP089932.1	95520	96251	+
LU633_RS00505	LU633_RS00505	glycoside hydrolase family 5 protein	-0.21536152384564	0.0899637818248081	0.320722649661963	-0.0473161215932709		NZ_CP089932.1	96354	97241	+
LU633_RS00510	LU633_RS00510	IS6 family transposase	0.0921482642720877	0.0899737377412075	0.350935245578937	0.371969275851115		NZ_CP089932.1	97338	98034	-
LU633_RS00525	LU633_RS00525	omptin family outer membrane protease	-0.0066503812779168	-0.14808626736326	0.14428678592021	-0.357556000298234		NZ_CP089932.1	99807	100022	+
LU633_RS00540	LU633_RS00540	phosphate ABC transporter substrate-binding protein PstS	-3.88593621956662	-3.33163258824367	-4.38327827531029	-1.61737782103124	pstS	NZ_CP089932.1	104594	105634	+
LU633_RS00545	LU633_RS00545	phosphate ABC transporter permease PstC	-2.98222855800706	-3.16190022218729	-1.588815478227	-0.786817266005072	pstC	NZ_CP089932.1	105717	106679	+
LU633_RS00555	LU633_RS00555	phosphate ABC transporter ATP-binding protein PstB	-3.19305332968254	-2.13532116964564	-0.81352970328415	-0.976906566450002	pstB	NZ_CP089932.1	107607	108377	+
LU633_RS00570	LU633_RS00570	serine/threonine transporter	-0.31621572832884	-0.3142619937683	-1.49436597864173	-0.117848382527311		NZ_CP089932.1	110806	112089	+
LU633_RS00590	LU633_RS00590	hypothetical protein	0.0374060697244436	0.28062865038672	-1.66553990940301	1.05967337209616		NZ_CP089932.1	113271	113459	-
LU633_RS00640	LU633_RS00640	HTH-type transcriptional regulator HdfR	-0.0793485521696129	-2.03738119203084	-1.36027145098491	0.805745052978726	hdfR	NZ_CP089932.1	121667	122491	-
LU633_RS00645	LU633_RS00645	DUF413 domain-containing protein	0.565092857389201	0.636043675117857	-0.037839447827402	-0.112545063797605		NZ_CP089932.1	122612	122950	+
LU633_RS00650	LU633_RS00650	IS3 family transposase	-0.0920841654177487	-0.209027532197806	-0.197597796727158	0.387901338001019		NZ_CP089932.1	123214	123605	+
LU633_RS00655	LU633_RS00655	DDE-type integrase/transposase/recombinase	0.27317677692439	-0.405823629788363	-0.876951015507749	-0.793826390380643		NZ_CP089932.1	123742	124705	+
LU633_RS00665	LU633_RS00665	YifB family Mg chelatase-like AAA ATPase	0.0911883953816801	-0.154899545007123	0.21299528855775	0.206232689970533		NZ_CP089932.1	126076	127599	-
LU633_RS00670	LU633_RS00670	IlvGEDA operon leader peptide	-2.54146821718898	-2.92789611754779	-1.37947772934005	-0.109981131111093		NZ_CP089932.1	127946	128044	+
LU633_RS00675	LU633_RS00675	acetolactate synthase 2 catalytic subunit	-2.56011653106552	-2.72484673753341	-0.359855287464832	0.156357493137751	ilvG	NZ_CP089932.1	128185	129831	+
LU633_RS00685	LU633_RS00685	branched-chain amino acid transaminase	-4.08291650562108	-4.88671995554183	-2.99181693485353	-2.305416428386		NZ_CP089932.1	130104	131033	+
LU633_RS00690	LU633_RS00690	dihydroxy-acid dehydratase	-4.53938073338476	-4.9171683450248	-1.79862265598032	-0.526089239856273	ilvD	NZ_CP089932.1	131092	132942	+
LU633_RS00695	LU633_RS00695	threonine ammonia-lyase, biosynthetic	-2.36530090891562	-1.92343753975433	0.0703821706103887	0.0579436968100722	ilvA	NZ_CP089932.1	132948	134507	+
LU633_RS00700	LU633_RS00700	HTH-type transcriptional activator IlvY	-2.81960126089645	-2.93701288852468	-0.257163563665382	-0.149152374946036	ilvY	NZ_CP089932.1	134617	135498	-
LU633_RS00705	LU633_RS00705	ketol-acid reductoisomerase	-4.33017339047697	-5.00882151544778	-1.31007152258517	-1.05360921437351	ilvC	NZ_CP089932.1	135664	137142	+
LU633_RS00720	LU633_RS00720	ParB/RepB/Spo0J family partition protein	-0.35919598059521	0.282654055432058	-0.318768440032186	-0.0979086061106189		NZ_CP089932.1	138617	139339	-
LU633_RS00735	LU633_RS00735	DUF2235 domain-containing protein	-0.0760414945950514	0.0221269198105254	0.201619820364352	0.037431188961139		NZ_CP089932.1	141598	143058	+
LU633_RS00750	LU633_RS00750	biofilm formation regulator HmsP	0.270916572328791	0.198602568424519	-0.0107975955437063	-0.27118858773119	hmsP	NZ_CP089932.1	145994	148027	+
LU633_RS00755	LU633_RS00755	dicarboxylate/amino acid:cation symporter	-0.0916039608833996	-0.0040231631369265	0.127739495824245	-0.0767902846423336		NZ_CP089932.1	148250	149530	+
LU633_RS00760	LU633_RS00760	insulinase family protein	1.36737227997177	0.797357001046345	0.344862255312687	-0.641527716183017		NZ_CP089932.1	149768	151261	+
LU633_RS00770	LU633_RS00770	hypothetical protein	0.284060934288616	0.056780937814506	0.1153805809185	-0.278287154006159		NZ_CP089932.1	152201	152974	+
LU633_RS00780	LU633_RS00780	polysaccharide lyase family protein	0.461041255351215	0.0105042430253424	0.779813816425974	1.83084641795142		NZ_CP089932.1	154404	155252	+
LU633_RS00790	LU633_RS00790	Tn3 family transposase	-0.485983240646186	-0.147639374594076	0.0939525287336109	0.650192316709423		NZ_CP089932.1	155661	156126	-
LU633_RS00795	LU633_RS00795	Rpn family recombination-promoting nuclease/putative transposase	0.140002360072361	-0.0551115684857666	0.402658242860096	0.115893321259807		NZ_CP089932.1	156492	157417	-
LU633_RS00800	LU633_RS00800	ISNCY family transposase	0.251484517962661	0.076555186376163	-0.83795144735283	-0.115182013192026		NZ_CP089932.1	157374	158158	-
LU633_RS00805	LU633_RS00805	DUF4225 domain-containing protein	-0.0191945284252071	-0.011587679817638	-0.414089889315614	0.411381650890332		NZ_CP089932.1	158667	159479	-
LU633_RS00810	LU633_RS00810	DDE-type integrase/transposase/recombinase	0.183915918401669	-0.0666080578118047	-0.417787840077506	0.449540789265581		NZ_CP089932.1	159665	159981	+
